1150+0i,3.533+0i,5.6876e-06+0i,12.4820889999677-4.01885816e-05i
1160+0i,3.53+0i,3.4275e-06+0i,12.4608999999883-2.419815e-05i
1170+0i,3.527+0i,1.7653e-06+0i,12.4397289999969-1.24524262e-05i
1180+0i,3.526+0i,5.5561e-07+0i,12.4326759999997-3.91816172e-06i
1190+0i,3.524+0i,2.3153e-07+0i,12.4185759999999-1.63182344e-06i
1200+0i,3.522+0i,1.3904e-07+0i,12.404484-9.7939776e-07i
1210+0i,3.52+0i,8.0863e-08+0i,12.3904-5.6927552e-07i
1220+0i,3.518+0i,4.794e-08+0i,12.376324-3.3730584e-07i
1230+0i,3.517+0i,2.7132e-08+0i,12.369289-1.90846488e-07i
1240+0i,3.515+0i,1.4318e-08+0i,12.355225-1.0065554e-07i
1250+0i,3.513+0i,5.8798e-09+0i,12.341169-4.13114748e-08i
1260+0i,3.512+0i,2.3352e-09+0i,12.334144-1.64024448e-08i
1270+0i,3.509+0i,1.2714e-09+0i,12.313081-8.9226852e-09i
1280+0i,3.509+0i,7.5284e-10+0i,12.313081-5.28343112e-09i
1290+0i,3.506+0i,4.4799e-10+0i,12.292036-3.14130588e-09i
1300+0i,3.505+0i,2.7228e-10+0i,12.285025-1.9086828e-09i
1310+0i,3.503+0i,1.5856e-10+0i,12.271009-1.11087136e-09i
1320+0i,3.502+0i,8.7196e-11+0i,12.264004-6.10720784e-10i
1330+0i,3.501+0i,4.2039e-11+0i,12.257001-2.94357078e-10i
1340+0i,3.5+0i,1.8128e-11+0i,12.25-1.26896e-10i
1350+0i,3.499+0i,1.0428e-11+0i,12.243001-7.2975144e-11i
1360+0i,3.497+0i,6.2911e-12+0i,12.229009-4.39999534e-11i
1370+0i,3.496+0i,3.903e-12+0i,12.222016-2.7289776e-11i
1380+0i,3.496+0i,2.6367e-12+0i,12.222016-1.84358064e-11i
1390+0i,3.496+0i,1.7377e-12+0i,12.222016-1.21499984e-11i
1400+0i,3.493+0i,1.0428e-12+0i,12.201049-7.2850008e-12i
1410+0i,3.492+0i,6.0422e-13+0i,12.194064-4.21987248e-12i
1420+0i,3.492+0i,4.2895e-13+0i,12.194064-2.9957868e-12i
1430+0i,3.49+0i,2.0381e-13+0i,12.1801-1.4225938e-12i
1440+0i,3.488+0i,1.3785e-13+0i,12.166144-9.616416e-13i
1450+0i,3.487+0i,1.0901e-13+0i,12.159169-7.6023574e-13i
