207+0i,1.26569+0i,2.48139+0i,-4.555325156-6.2813410182i
599+0i,3.92088+0i,0.23127+0i,15.3198141615-1.8135638352i
600+0i,3.91863+0i,0.23025+0i,15.3026460144-1.804529115i
601+0i,3.91639+0i,0.22922+0i,15.2855688237-1.7954298316i
602+0i,3.91414+0i,0.2282+0i,15.2684166996-1.786413496i
603+0i,3.9119+0i,0.22717+0i,15.2513554011-1.777332646i
604+0i,3.90966+0i,0.22615+0i,15.2342974931-1.768339218i
605+0i,3.90745+0i,0.22514+0i,15.2174774829-1.759446586i
606+0i,3.90548+0i,0.22419+0i,15.2025128743-1.7511391224i
607+0i,3.90352+0i,0.22325+0i,15.1876278279-1.74292168i
608+0i,3.90156+0i,0.22231+0i,15.1727486975-1.7347116072i
609+0i,3.89959+0i,0.22137+0i,15.1577974912-1.7265044766i
610+0i,3.89763+0i,0.22042+0i,15.1429346405-1.7182312092i
611+0i,3.89567+0i,0.21948+0i,15.1280732785-1.7100433032i
612+0i,3.89371+0i,0.21854+0i,15.1132178325-1.7018627668i
613+0i,3.89174+0i,0.2176+0i,15.0982904676-1.693685248i
614+0i,3.88978+0i,0.21665+0i,15.0834512259-1.685441674i
615+0i,3.88782+0i,0.21571+0i,15.0686135483-1.6772833044i
616+0i,3.88585+0i,0.21477+0i,15.0537040696-1.669128009i
617+0i,3.88389+0i,0.21383+0i,15.0388782632-1.6609843974i
618+0i,3.88193+0i,0.21288+0i,15.0240626305-1.6527705168i
619+0i,3.87996+0i,0.21194+0i,15.009171038-1.6446374448i
620+0i,3.878+0i,0.211+0i,14.994363-1.636516i
621+0i,3.87628+0i,0.20999+0i,14.9814508383-1.6279600744i
622+0i,3.87456+0i,0.20898+0i,14.9685425532-1.6194110976i
623+0i,3.87285+0i,0.20797+0i,14.9557156016-1.610873229i
624+0i,3.87113+0i,0.20696+0i,14.9428150353-1.6023381296i
625+0i,3.86941+0i,0.20595+0i,14.9299183456-1.593809979i
626+0i,3.86769+0i,0.20494+0i,14.9170255325-1.5852887772i
627+0i,3.86597+0i,0.20393+0i,14.904136596-1.5767745242i
628+0i,3.86426+0i,0.20292+0i,14.8913288212-1.5682712784i
629+0i,3.86254+0i,0.20191+0i,14.8784476035-1.5597709028i
630+0i,3.86082+0i,0.2009+0i,14.8655702624-1.551277476i
631+0i,3.8591+0i,0.19989+0i,14.8526967979-1.542790998i
632+0i,3.85738+0i,0.19888+0i,14.83982721-1.5343114688i
633+0i,3.85567+0i,0.19787+0i,14.827038612-1.5258428458i
634+0i,3.85395+0i,0.19686+0i,14.8141767429-1.517377194i
635+0i,3.85223+0i,0.19584+0i,14.8013226673-1.5088414464i
636+0i,3.85054+0i,0.19484+0i,14.788695666-1.5004784272i
637+0i,3.84906+0i,0.19389+0i,14.7776695515-1.4925884868i
638+0i,3.84759+0i,0.19294+0i,14.7667229645-1.4847080292i
639+0i,3.84611+0i,0.19198+0i,14.7557058117-1.4767523956i
640+0i,3.84464+0i,0.19103+0i,14.7447642687-1.4688831584i
641+0i,3.84316+0i,0.19008+0i,14.7337483792-1.4610157056i
642+0i,3.84168+0i,0.18913+0i,14.7227350655-1.4531538768i
643+0i,3.84021+0i,0.18817+0i,14.7118048952-1.4452246314i
644+0i,3.83873+0i,0.18722+0i,14.7007966845-1.4373740612i
645+0i,3.83726+0i,0.18627+0i,14.6898677947-1.4295328404i
646+0i,3.83578+0i,0.18532+0i,14.678864706-1.4216934992i
647+0i,3.83431+0i,0.18436+0i,14.6679445665-1.4137867832i
648+0i,3.83283+0i,0.18341+0i,14.6569465808-1.4059587006i
649+0i,3.83136+0i,0.18246+0i,14.646027798-1.3981398912i
650+0i,3.82988+0i,0.18151+0i,14.6350349343-1.3903230376i
651+0i,3.82841+0i,0.18055+0i,14.6241248256-1.382438851i
652+0i,3.82693+0i,0.1796+0i,14.6131370649-1.374633256i
653+0i,3.82556+0i,0.17872+0i,14.6029684752-1.3674081664i
654+0i,3.82437+0i,0.17795+0i,14.5941396944-1.361093283i
655+0i,3.82317+0i,0.17718+0i,14.5852360965-1.3547785212i
656+0i,3.82198+0i,0.17641+0i,14.5764106323-1.3484709836i
657+0i,3.82078+0i,0.17564+0i,14.5675103988-1.3421635984i
658+0i,3.81959+0i,0.17487+0i,14.5586882512-1.3358634066i
659+0i,3.8184+0i,0.1741+0i,14.54986775-1.32956688i
660+0i,3.8172+0i,0.17333+0i,14.5409725511-1.323270552i
661+0i,3.81601+0i,0.17257+0i,14.5321519152-1.3170576914i
662+0i,3.81481+0i,0.1718+0i,14.5232600961-1.310768716i
663+0i,3.81362+0i,0.17103+0i,14.5144462435-1.3044868572i
664+0i,3.81243+0i,0.17026+0i,14.5056340373-1.2982086636i
665+0i,3.81123+0i,0.16949+0i,14.4967472528-1.2919307454i
666+0i,3.81004+0i,0.16872+0i,14.4879383632-1.2856598976i
667+0i,3.80884+0i,0.16795+0i,14.4790549431-1.279389356i
668+0i,3.80765+0i,0.16718+0i,14.4702493701-1.273125854i
669+0i,3.80645+0i,0.16641+0i,14.4613693144-1.266862689i
670+0i,3.80526+0i,0.16565+0i,14.4525637451-1.260682638i
671+0i,3.80416+0i,0.16487+0i,14.4444511887-1.2543837184i
672+0i,3.80309+0i,0.1641+0i,14.4365647381-1.248174138i
673+0i,3.80201+0i,0.16332+0i,14.4286066177-1.2418885464i
674+0i,3.80094+0i,0.16255+0i,14.4207223811-1.235685594i
675+0i,3.79987+0i,0.16177+0i,14.412842484-1.2294099398i
676+0i,3.7988+0i,0.16099+0i,14.4049636599-1.223137624i
677+0i,3.79773+0i,0.16022+0i,14.3970827045-1.2169446012i
678+0i,3.79666+0i,0.15944+0i,14.389206042-1.2106789408i
679+0i,3.79559+0i,0.15867+0i,14.3813272792-1.2044925306i
680+0i,3.79452+0i,0.15789+0i,14.3734527783-1.1982335256i
681+0i,3.79345+0i,0.15712+0i,14.3655762081-1.192053728i
682+0i,3.79238+0i,0.156832102+0i,14.3575497561823-1.18953385396552i
683+0i,3.79131+0i,0.156542494+0i,14.3495259636723-1.18700224585428i
684+0i,3.79024+0i,0.156251167+0i,14.3415048304111-1.18445884642016i
685+0i,3.78916+0i,0.155958111+0i,14.3334105732133-1.18190047175352i
686+0i,3.78809+0i,0.155663316+0i,14.3253947801519-1.17933330141288i
687+0i,3.78702+0i,0.155366772+0i,14.3173816465583-1.17675414579888i
688+0i,3.78595+0i,0.155068469+0i,14.309371172422-1.1741629404211i
689+0i,3.78488+0i,0.154768398+0i,14.3013633573805-1.17155962844448i
690+0i,3.78379+0i,0.154466547+0i,14.2932068499579-1.16893795174626i
691+0i,3.7827+0i,0.154162907+0i,14.2850530881053-1.1663040566178i
692+0i,3.78161+0i,0.153857467+0i,14.2769020719483-1.16365787156374i
693+0i,3.78052+0i,0.153550215+0i,14.2687538018735-1.1609993176236i
694+0i,3.77943+0i,0.153241141+0i,14.260608277605-1.15832833105926i
695+0i,3.77834+0i,0.152930235+0i,14.2524654988228-1.1556448482198i
696+0i,3.77725+0i,0.152617484+0i,14.2443254660775-1.152948782878i
697+0i,3.77617+0i,0.152302878+0i,14.2362637022529-1.15024311763452i
698+0i,3.77508+0i,0.151986404+0i,14.2281291393991-1.14752166802464i
699+0i,3.77399+0i,0.151668052+0i,14.2199973221025-1.14478742313496i
700+0i,3.7729+0i,0.151347809+0i,14.2118682507109-1.1420402971522i
701+0i,3.77181+0i,0.151025664+0i,14.2037419249134-1.13928021946368i
702+0i,3.77072+0i,0.150701603+0i,14.1956183452532-1.13650709692832i
703+0i,3.76963+0i,0.150375615+0i,14.1874975113134-1.1337208591449i
704+0i,3.76854+0i,0.150047688+0i,14.1793794229259-1.13092142827104i
705+0i,3.76745+0i,0.149717807+0i,14.1712640807671-1.1281087039643i
706+0i,3.76636+0i,0.149385962+0i,14.1631514839573-1.12528262367664i
707+0i,3.76527+0i,0.149052137+0i,14.1550416333557-1.12244307976398i
708+0i,3.76418+0i,0.148716321+0i,14.1469345282682-1.11959000236356i
709+0i,3.76312+0i,0.148378499+0i,14.1390559554345-1.11673219431376i
710+0i,3.76208+0i,0.148038657+0i,14.1313304824336-1.11386654145312i
711+0i,3.76105+0i,0.147696783+0i,14.1236827627915-1.1109899714043i
712+0i,3.76001+0i,0.14735286+0i,14.1159623347498-1.1080964542572i
713+0i,3.75898+0i,0.147006877+0i,14.1083196185147-1.10519182101092i
714+0i,3.75795+0i,0.146658816+0i,14.1006793941895-1.1022729951744i
715+0i,3.75691+0i,0.146308665+0i,14.0929665226459-1.0993369732503i
716+0i,3.75588+0i,0.145956407+0i,14.0853313016556-1.09638949984632i
717+0i,3.75484+0i,0.145602028+0i,14.0776234750423-1.09342463763104i
718+0i,3.75381+0i,0.145245511+0i,14.0699932576343-1.09044810329382i
719+0i,3.75277+0i,0.144886842+0i,14.0622904759153-1.08745398810468i
720+0i,3.75174+0i,0.144526003+0i,14.0546652620568-1.08444797299044i
721+0i,3.7507+0i,0.14416298+0i,14.0469675251975-1.081424178172i
722+0i,3.74967+0i,0.143797754+0i,14.0393473148446-1.07838824848236i
723+0i,3.74863+0i,0.14343031+0i,14.0316546230733-1.0753343259506i
724+0i,3.7476+0i,0.14306063+0i,14.024039416144-1.072268033976i
725+0i,3.74656+0i,0.142688697+0i,14.0163517693484-1.06918352926464i
726+0i,3.74553+0i,0.142314493+0i,14.0087415659822-1.06608640593258i
727+0i,3.7445+0i,0.141938001+0i,14.0011338538721-1.062973689489i
728+0i,3.74346+0i,0.141559201+0i,13.9934537642122-1.05984241315092i
729+0i,3.74243+0i,0.141178076+0i,13.9858510557569-1.05669813392936i
730+0i,3.74143+0i,0.140794606+0i,13.9784753238213-1.05354632545316i
731+0i,3.74045+0i,0.140408772+0i,13.9712515792455-1.0503839824548i
732+0i,3.73948+0i,0.140020554+0i,13.9641049148575-1.04720812254384i
733+0i,3.7385+0i,0.139629934+0i,13.9568857315312-1.044013016518i
734+0i,3.73752+0i,0.13923689+0i,13.9496688388631-1.0408013222256i
735+0i,3.73655+0i,0.138841402+0i,13.9425289675907-1.0375756812862i
736+0i,3.73557+0i,0.138443449+0i,13.935316636329-1.03433038956186i
737+0i,3.7346+0i,0.138043009+0i,13.9281812876662-1.0310708428228i
738+0i,3.73362+0i,0.137640061+0i,13.9209735180079-1.02779136910164i
739+0i,3.73265+0i,0.137234583+0i,13.9138426917288-1.0244973324699i
740+0i,3.73167+0i,0.136826553+0i,13.9066394832941-1.02118308606702i
741+0i,3.7307+0i,0.136415946+0i,13.8995131796769-1.0178539394844i
742+0i,3.72972+0i,0.136002741+0i,13.8923145328405-1.01450428632504i
743+0i,3.72874+0i,0.135586912+0i,13.8851181768943-1.01113668450176i
744+0i,3.72777+0i,0.135168437+0i,13.877998666539-1.00775368879098i
745+0i,3.72679+0i,0.13474729+0i,13.8708068719377-1.0043497057982i
746+0i,3.72582+0i,0.134323445+0i,13.8636918845233-1.0009299556998i
747+0i,3.72484+0i,0.133896879+0i,13.8565046513941-0.99748890154872i
748+0i,3.72387+0i,0.133467563+0i,13.8493941865268-0.99403170765762i
749+0i,3.72289+0i,0.133035473+0i,13.8422115150237-0.99055286415394i
750+0i,3.72192+0i,0.13260058+0i,13.8351055725837-0.9870575014272i
751+0i,3.72094+0i,0.132162856+0i,13.8279274630939-0.98354011480928i
752+0i,3.72002+0i,0.131722274+0i,13.8211980429323-0.98001898745096i
753+0i,3.71915+0i,0.131278805+0i,13.8148425978578-0.9764911352315i
754+0i,3.71828+0i,0.130832419+0i,13.8084890365386-0.97294313383864i
755+0i,3.71741+0i,0.130383087+0i,13.8021373587244-0.96937478288934i
756+0i,3.71654+0i,0.129930777+0i,13.7957875647882-0.96578585990316i
757+0i,3.71566+0i,0.129475459+0i,13.7893653411167-0.96217356797588i
758+0i,3.71479+0i,0.129017101+0i,13.7830193317496-0.95854287324758i
759+0i,3.71392+0i,0.128555669+0i,13.776675206368-0.95489094042496i
760+0i,3.71305+0i,0.128091132+0i,13.770332964403-0.9512175553452i
761+0i,3.71218+0i,0.127623454+0i,13.7639926063891-0.94752246693944i
762+0i,3.71131+0i,0.127152601+0i,13.7576541321589-0.94380543923462i
763+0i,3.71044+0i,0.126678538+0i,13.7513175416102-0.94006622907344i
764+0i,3.70957+0i,0.126201229+0i,13.7449828346989-0.93630458612306i
765+0i,3.7087+0i,0.125720636+0i,13.7386500116838-0.9325202454664i
766+0i,3.70783+0i,0.125236721+0i,13.7323190726132-0.92871294245086i
767+0i,3.70696+0i,0.124749446+0i,13.7259900173227-0.92488241268832i
768+0i,3.70609+0i,0.124258772+0i,13.7196628456811-0.92102838464296i
769+0i,3.70522+0i,0.123764657+0i,13.7133375580777-0.91715056481908i
770+0i,3.70435+0i,0.123267061+0i,13.7070141541724-0.9132486748307i
771+0i,3.70348+0i,0.12276594+0i,13.7006926343759-0.9093224069424i
772+0i,3.70261+0i,0.122261253+0i,13.6943729981149-0.90537147594066i
773+0i,3.70174+0i,0.121752953+0i,13.6880552460358-0.90139555247644i
774+0i,3.70087+0i,0.121240996+0i,13.6817393777889-0.89739432973304i
775+0i,3.7+0i,0.120725334+0i,13.6754253937306-0.8933674716i
776+0i,3.69934+0i,0.120205921+0i,13.6706669721565-0.88936514358428i
777+0i,3.69869+0i,0.119682708+0i,13.6659837655058-0.88533847050504i
778+0i,3.69804+0i,0.119155643+0i,13.6613017743413-0.88128466807944i
779+0i,3.69738+0i,0.118624676+0i,13.6565470506439-0.87720100909776i
780+0i,3.69672+0i,0.118089754+0i,13.6517935684002-0.87308951081376i
781+0i,3.69607+0i,0.117550824+0i,13.6471152486769-0.86895214812336i
782+0i,3.69541+0i,0.117007828+0i,13.6423642362867-0.86478379533896i
783+0i,3.69476+0i,0.116460711+0i,13.6376883603934-0.86058875314872i
784+0i,3.69411+0i,0.115909413+0i,13.633013700078-0.85636424331486i
785+0i,3.69345+0i,0.115353876+0i,13.6282663857918-0.8521075466244i
786+0i,3.69279+0i,0.114794037+0i,13.6235203131692-0.84782054378646i
787+0i,3.69214+0i,0.114229832+0i,13.6188493250813-0.84350506384096i
788+0i,3.69148+0i,0.113661198+0i,13.6141057224692-0.83915607838608i
789+0i,3.69083+0i,0.113088065+0i,13.6094371784546-0.8347776458879i
790+0i,3.69018+0i,0.112510367+0i,13.6047698497175-0.83036701219212i
791+0i,3.68952+0i,0.111928032+0i,13.6000299460526-0.82592142524928i
792+0i,3.68886+0i,0.111340986+0i,13.5952912844365-0.82144261923192i
793+0i,3.68821+0i,0.110749156+0i,13.5906276285453-0.81693228930152i
794+0i,3.68755+0i,0.110152463+0i,13.585891437395-0.8123854298713i
795+0i,3.6869+0i,0.109550828+0i,13.5812302260845-0.8078058955064i
796+0i,3.68625+0i,0.108944169+0i,13.5765702305409-0.8031908859525i
797+0i,3.68559+0i,0.108332401+0i,13.5718377389936-0.79853762760318i
798+0i,3.68493+0i,0.107715437+0i,13.5671064895319-0.79384769052882i
799+0i,3.68428+0i,0.107093186+0i,13.5624501679124-0.78912256663216i
800+0i,3.68362+0i,0.106465557+0i,13.5577213895727-0.78435731015268i
801+0i,3.68296+0i,0.105832453+0i,13.552993853492-0.77955338220176i
802+0i,3.6823+0i,0.105193774+0i,13.5482675599116-0.7747100680004i
803+0i,3.68164+0i,0.104549419+0i,13.5435425085868-0.76982664593432i
804+0i,3.68098+0i,0.103899281+0i,13.5388186998077-0.76490235075076i
805+0i,3.68032+0i,0.103243251+0i,13.534096133523-0.75993640304064i
806+0i,3.67966+0i,0.102581215+0i,13.5293748099291-0.7549279871738i
807+0i,3.679+0i,0.101913056+0i,13.5246547290167-0.749876266048i
808+0i,3.67834+0i,0.101238652+0i,13.5199358909412-0.74478036639536i
809+0i,3.67768+0i,0.100557878+0i,13.5152182955721-0.73963939352608i
810+0i,3.67702+0i,0.099870601+0i,13.5105019434559-0.73445239457804i
811+0i,3.67635+0i,0.099176688+0i,13.5057133070573-0.7292164338576i
812+0i,3.67569+0i,0.098475996+0i,13.5009994543118-0.72393446747448i
813+0i,3.67503+0i,0.09776838+0i,13.4962868447722-0.7186034591028i
814+0i,3.67437+0i,0.097053687+0i,13.4915754787397-0.71322231180438i
815+0i,3.67371+0i,0.09633176+0i,13.4868653561153-0.7077899000592i
816+0i,3.67305+0i,0.095602433+0i,13.4821564773045-0.7023050330613i
817+0i,3.67239+0i,0.094865536+0i,13.4774488421794-0.69676649150208i
818+0i,3.67173+0i,0.094120889+0i,13.4727424511539-0.69117298353594i
819+0i,3.67107+0i,0.093368306+0i,13.4680373043347-0.68552317421484i
820+0i,3.67041+0i,0.092607593+0i,13.4633334018187-0.67981567084626i
821+0i,3.66975+0i,0.091838547+0i,13.4586307437849-0.6740490157065i
822+0i,3.66908+0i,0.091060955+0i,13.4538559488745-0.6682198575428i
823+0i,3.66842+0i,0.090274596+0i,13.449155793717-0.66233026691664i
824+0i,3.66776+0i,0.089479237+0i,13.4444568837459-0.65637673259824i
825+0i,3.6671+0i,0.088674634+0i,13.439759219285-0.6503575006828i
826+0i,3.66644+0i,0.087860532+0i,13.4350628005167-0.64427073789216i
827+0i,3.66573+0i,0.087036663+0i,13.4300010521938-0.63810581331798i
828+0i,3.6649+0i,0.086202744+0i,13.4240610969269-0.6318488729712i
829+0i,3.66408+0i,0.08535848+0i,13.4181961762921-0.6255205987968i
830+0i,3.66326+0i,0.084503558+0i,13.4123329762853-0.61911700775816i
831+0i,3.66244+0i,0.083637649+0i,13.4064714972698-0.61263574240712i
832+0i,3.66162+0i,0.082760404+0i,13.4006117399298-0.60607430098896i
833+0i,3.6608+0i,0.081871458+0i,13.394753704365-0.5994300668928i
834+0i,3.65997+0i,0.080970422+0i,13.3888241916611-0.59269863081468i
835+0i,3.65915+0i,0.080056883+0i,13.3829696179843-0.5858802868589i
836+0i,3.65833+0i,0.079130404+0i,13.3771167680628-0.57897026173064i
837+0i,3.65751+0i,0.078190523+0i,13.371265642213-0.57196523955546i
838+0i,3.65669+0i,0.077236743+0i,13.3654162416308-0.56486165152134i
839+0i,3.65586+0i,0.076268539+0i,13.3594954495588-0.55765420197708i
840+0i,3.65504+0i,0.075285348+0i,13.3536495179765-0.55034191670784i
841+0i,3.65422+0i,0.074286569+0i,13.3478053140662-0.54291893234236i
842+0i,3.6534+0i,0.073271555+0i,13.3419628392279-0.535380598074i
843+0i,3.65258+0i,0.072239615+0i,13.3361220944247-0.5277219459134i
844+0i,3.65176+0i,0.071190002+0i,13.3302830812152-0.51993760340704i
845+0i,3.65093+0i,0.070121912+0i,13.3243727823575-0.51202038435632i
846+0i,3.65011+0i,0.069034474+0i,13.3185372534995-0.50396684778428i
847+0i,3.64929+0i,0.067926744+0i,13.3127034615496-0.49576877522352i
848+0i,3.64847+0i,0.066797697+0i,13.3068714085755-0.48741878714718i
849+0i,3.64765+0i,0.065646213+0i,13.3010410972188-0.4789088176989i
850+0i,3.64683+0i,0.064471067+0i,13.2952125304199-0.47023004253522i
851+0i,3.646+0i,0.063270914+0i,13.2893127914416-0.461371504888i
852+0i,3.64518+0i,0.062044272+0i,13.283487740712-0.45232507881792i
853+0i,3.64436+0i,0.0607895+0i,13.2776644462897-0.44307764444i
854+0i,3.64354+0i,0.059504773+0i,13.2718429135902-0.43361604123284i
855+0i,3.64272+0i,0.058188056+0i,13.2660231485389-0.42392559070464i
856+0i,3.6418+0i,0.056837059+0i,13.2594767887242-0.4139784029324i
857+0i,3.64087+0i,0.055449198+0i,13.2528597433412-0.40376664304452i
858+0i,3.63993+0i,0.054021533+0i,13.2461720788723-0.39326919722538i
859+0i,3.63899+0i,0.052550697+0i,13.2394866443448-0.38246292175206i
860+0i,3.63806+0i,0.0510328+0i,13.2328762169242-0.371320776736i
861+0i,3.63712+0i,0.049463309+0i,13.2261952754628-0.35980798086016i
862+0i,3.63619+0i,0.047836882+0i,13.2195893488205-0.34788798391916i
863+0i,3.63525+0i,0.046147148+0i,13.2129130032315-0.335512839534i
864+0i,3.63432+0i,0.044386397+0i,13.2063117101614-0.32262874069008i
865+0i,3.63338+0i,0.042545141+0i,13.1996401353773-0.30916532881316i
866+0i,3.63244+0i,0.040611463+0i,13.192971062673-0.29503740531944i
867+0i,3.63151+0i,0.038570011+0i,13.1863772343515-0.28013476129322i
868+0i,3.63057+0i,0.036400375+0i,13.1797135375999-0.2643082189275i
869+0i,3.62964+0i,0.034074268+0i,13.1731254738603-0.24735465220704i
870+0i,3.6287+0i,0.031550194+0i,13.1664682752586-0.2289723779356i
871+0i,3.62777+0i,0.028762003+0i,13.1598879200834-0.20868386324662i
872+0i,3.62683+0i,0.025588823+0i,13.1532410610375-0.18561262184218i
873+0i,3.6259+0i,0.021738559+0i,13.1466782450526-0.1576436821562i
874+0i,3.62496+0i,0.015778402+0i,13.1400860436303-0.11439215222784i
875+0i,3.62402+0i,0.011460816+0i,13.1333896100966-0.08306845280064i
876+0i,3.62309+0i,0.00833081+0i,13.1267117457047-0.0603665488058i
877+0i,3.62215+0i,0.006060061+0i,13.1199338981607-0.0439008999023i
878+0i,3.62122+0i,0.004411474+0i,13.1132148272971-0.03194983575656i
879+0i,3.62028+0i,0.003213707+0i,13.1064169504873-0.02326903835592i
880+0i,3.61935+0i,0.002342846+0i,13.0996889335726-0.0169591593402i
881+0i,3.61841+0i,0.001709208+0i,13.092888006708-0.01236923063856i
882+0i,3.61748+0i,0.001247839+0i,13.0861599932978-0.00902806525144i
883+0i,3.61654+0i,0.000911663+0i,13.0793607404706-0.00659413141204i
884+0i,3.6156+0i,0.000666531+0i,13.0725629157364-0.0048198189672i
885+0i,3.61467+0i,0.000487658+0i,13.0658389710897-0.00352544548572i
886+0i,3.61367+0i,0.000357042+0i,13.058610741421-0.00258046392828i
887+0i,3.61251+0i,0.000261596+0i,13.0502284316675-0.00189003633192i
888+0i,3.61136+0i,0.0001918+0i,13.0419210128128-0.001385317696i
889+0i,3.6102+0i,0.000140725+0i,13.0335440201965-0.00101609079i
890+0i,3.60905+0i,0.000103323+0i,13.0252418918244-0.0007457957463i
891+0i,3.60789+0i,7.59e-05+0i,13.0168702463392-0.000547677702i
892+0i,3.60673+0i,5.58e-05+0i,13.0085012897864-0.000402511068i
893+0i,3.60558+0i,4.11e-05+0i,13.0002071347108-0.000296378676i
894+0i,3.60442+0i,3.02e-05+0i,12.991843535488-0.000217706968i
895+0i,3.60326+0i,2.23e-05+0i,12.9834826271027-0.000160705396i
896+0i,3.60211+0i,1.64e-05+0i,12.975196451831-0.000118149208i
897+0i,3.60095+0i,1.21e-05+0i,12.9668409023536-8.714299e-05i
898+0i,3.5998+0i,8.95e-06+0i,12.9585600399199-6.443642e-05i
899+0i,3.59864+0i,6.61e-06+0i,12.9502098495563-4.75740208e-05i
900+0i,3.59748+0i,4.89e-06+0i,12.9418623503761-3.51833544e-05i
901+0i,3.59633+0i,3.61e-06+0i,12.933589468887-2.59655026e-05i
902+0i,3.59517+0i,2.68e-06+0i,12.9252473288928-1.92701112e-05i
903+0i,3.59402+0i,1.98e-06+0i,12.9169797603961-1.42323192e-05i
904+0i,3.59286+0i,1.47e-06+0i,12.9086429795978-1.05630084e-05i
905+0i,3.5917+0i,1.09e-06+0i,12.9003088899988-7.829906e-06i
906+0i,3.59055+0i,8.09e-07+0i,12.8920493024993-5.8095099e-06i
907+0i,3.58939+0i,6.01e-07+0i,12.8837205720996-4.31444678e-06i
908+0i,3.58824+0i,4.47e-07+0i,12.8754662975998-3.20788656e-06i
909+0i,3.58708+0i,3.32e-07+0i,12.8671429263999-2.38182112e-06i
910+0i,3.58592+0i,2.47e-07+0i,12.8588222463999-1.77144448e-06i
911+0i,3.58477+0i,1.84e-07+0i,12.8505759529-1.31919536e-06i
912+0i,3.58361+0i,1.37e-07+0i,12.8422606321-9.8190914e-07i
913+0i,3.58245+0i,1.02e-07+0i,12.8339480025-7.308198e-07i
914+0i,3.5813+0i,7.63e-08+0i,12.82570969-5.4650638e-07i
915+0i,3.58014+0i,5.7e-08+0i,12.8174024196-4.0813596e-07i
916+0i,3.57899+0i,4.26e-08+0i,12.8091694201-3.04929948e-07i
917+0i,3.57783+0i,3.18e-08+0i,12.8008675089-2.27549988e-07i
918+0i,3.57667+0i,2.38e-08+0i,12.7925682889-1.70249492e-07i
919+0i,3.57557+0i,1.78e-08+0i,12.7847008249-1.27290292e-07i
920+0i,3.57451+0i,1.34e-08+0i,12.7771217401-9.5796868e-08i
921+0i,3.57346+0i,1e-08+0i,12.7696163716-7.14692e-08i
922+0i,3.5724+0i,7.51e-09+0i,12.76204176-5.3657448e-08i
923+0i,3.57135+0i,5.63e-09+0i,12.7545408225-4.0213401e-08i
924+0i,3.57029+0i,4.23e-09+0i,12.7469706841-3.02046534e-08i
925+0i,3.56924+0i,3.18e-09+0i,12.7394741776-2.27003664e-08i
926+0i,3.56818+0i,2.39e-09+0i,12.7319085124-1.70559004e-08i
927+0i,3.56713+0i,1.8e-09+0i,12.7244164369-1.2841668e-08i
928+0i,3.56607+0i,1.35e-09+0i,12.7168552449-9.628389e-09i
929+0i,3.56502+0i,1.02e-09+0i,12.7093676004-7.2726408e-09i
930+0i,3.56396+0i,7.68e-10+0i,12.7018108816-5.47424256e-09i
931+0i,3.56291+0i,5.79e-10+0i,12.6943276681-4.12584978e-09i
932+0i,3.56185+0i,4.37e-10+0i,12.6867754225-3.1130569e-09i
933+0i,3.5608+0i,3.3e-10+0i,12.67929664-2.350128e-09i
934+0i,3.55974+0i,2.49e-10+0i,12.6717488676-1.77275052e-09i
935+0i,3.55869+0i,1.89e-10+0i,12.6642745161-1.34518482e-09i
936+0i,3.55763+0i,1.43e-10+0i,12.6567312169-1.01748218e-09i
937+0i,3.55657+0i,1.08e-10+0i,12.6491901649-7.6821912e-10i
938+0i,3.55552+0i,8.18e-11+0i,12.6417224704-5.81683072e-10i
939+0i,3.55446+0i,6.2e-11+0i,12.6341858916-4.4075304e-10i
940+0i,3.55341+0i,4.7e-11+0i,12.6267226281-3.3402054e-10i
941+0i,3.55235+0i,3.57e-11+0i,12.6191905225-2.5363779e-10i
942+0i,3.5513+0i,2.71e-11+0i,12.61173169-1.9248046e-10i
943+0i,3.55024+0i,2.06e-11+0i,12.6042040576-1.46269888e-10i
944+0i,3.54919+0i,1.56e-11+0i,12.5967496561-1.10734728e-10i
945+0i,3.54813+0i,1.19e-11+0i,12.5892264969-8.4445494e-11i
946+0i,3.54708+0i,9.04e-12+0i,12.5817765264-6.41312064e-11i
947+0i,3.54602+0i,6.89e-12+0i,12.5742578404-4.88641556e-11i
948+0i,3.54497+0i,5.25e-12+0i,12.5668123009-3.7222185e-11i
949+0i,3.54391+0i,4e-12+0i,12.5592980881-2.835128e-11i
950+0i,3.54286+0i,3.05e-12+0i,12.5518569796-2.1611446e-11i
951+0i,3.5418+0i,2.33e-12+0i,12.54434724-1.6504788e-11i
952+0i,3.54075+0i,1.78e-12+0i,12.5369105625-1.260507e-11i
953+0i,3.53969+0i,1.36e-12+0i,12.5294052961-9.6279568e-12i
954+0i,3.5387+0i,1.04e-12+0i,12.52239769-7.360496e-12i
955+0i,3.53802+0i,7.94e-13+0i,12.5175855204-5.61837576e-12i
956+0i,3.53735+0i,6.08e-13+0i,12.5128450225-4.3014176e-12i
957+0i,3.53667+0i,4.65e-13+0i,12.5080346889-3.2891031e-12i
958+0i,3.536+0i,3.56e-13+0i,12.503296-2.517632e-12i
959+0i,3.53532+0i,2.73e-13+0i,12.4984875024-1.93028472e-12i
960+0i,3.53464+0i,2.1e-13+0i,12.4936799296-1.4845488e-12i
961+0i,3.53397+0i,1.61e-13+0i,12.4889439609-1.13793834e-12i
962+0i,3.53329+0i,1.24e-13+0i,12.4841382241-8.7625592e-13i
963+0i,3.53262+0i,9.49e-14+0i,12.4794040644-6.70491276e-13i
