#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Diffuse reflectance centre)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Total reflectance edge major)	Wavelength [nm]	QE[-] (JE794 inverted noARC_Diffuse reflectance edge major)	
710	0.98274	710	0.604489821833739	710	0.163658161127437	710	0.673465053543574	710	0.0849091776348656	
715	0.98271	715	0.639924310075939	715	0.126420102417406	715	0.676323808928428	715	0.0931734273101535	
720	0.98268	720	0.666532413978073	720	0.103223927129504	720	0.675428855751115	720	0.108937893414855	
725	0.98265	725	0.687703293443697	725	0.0881936181139047	725	0.66914438027655	725	0.134815905446204	
730	0.98262	730	0.702345291229312	730	0.080680829662366	730	0.655304228415704	730	0.170409941347674	
735	0.98259	735	0.713968759357496	735	0.0762447748822129	735	0.633818365113355	735	0.221961349258074	
740	0.98256	740	0.718911976685376	740	0.0753058083409543	740	0.601743272259987	740	0.284646900963328	
745	0.98253	745	0.724325045433021	745	0.0788701962448057	745	0.561243991215472	745	0.350313689764964	
750	0.9825	750	0.723982197853706	750	0.0856175893525702	750	0.519368543950507	750	0.401180038647968	
755	0.98258	755	0.720777398268691	755	0.098195078381756	755	0.492302753018086	755	0.421620383804999	
760	0.98266	760	0.717027055388413	760	0.118853463821642	760	0.485315795469185	760	0.402094060491103	
765	0.98274	765	0.708523546817616	765	0.151106565272127	765	0.500808093915912	765	0.354422315008137	
770	0.98282	770	0.696410394472789	770	0.196748953929746	770	0.530282144618429	770	0.296011047288549	
775	0.9829	775	0.68003985156655	775	0.258036645260852	775	0.563112888661955	775	0.241310094684016	
780	0.98298	780	0.656856170842189	780	0.334547476800503	780	0.590731823017086	780	0.198727937702357	
785	0.98306	785	0.625648903170284	785	0.414475799573507	785	0.617352362992111	785	0.167328810131574	
790	0.98314	790	0.591991107109784	790	0.476978973189247	790	0.636901928439613	790	0.145211982167667	
795	0.98322	795	0.566002575945806	795	0.506148553701049	795	0.653335586369553	795	0.128668670707431	
800	0.9833	800	0.551647290734586	800	0.488769547493534	800	0.668542570680644	800	0.11823276886809	
805	0.9832	805	0.556195783482918	805	0.435811049951183	805	0.681913877119453	805	0.110453717536571	
810	0.9831	810	0.57351680924567	810	0.365836733097659	810	0.692976992017407	810	0.104192393417314	
815	0.983	815	0.593594260629598	815	0.298818598079243	815	0.702087265839171	815	0.100186766489077	
820	0.9829	820	0.618996162543941	820	0.241758642120676	820	0.710346680482345	820	0.0977848548520481	
825	0.9828	825	0.639177959632247	825	0.199213176356684	825	0.717726481448826	825	0.0963749437414078	
830	0.9827	830	0.657464034236557	830	0.169750987694897	830	0.724427460311701	830	0.0971623168653784	
835	0.9826	835	0.67714430470042	835	0.14608986900642	835	0.729270275165433	835	0.100180545015063	
840	0.9825	840	0.691324747700295	840	0.130220646555914	840	0.733643465372672	840	0.107035975600533	
845	0.9824	845	0.704437035513107	845	0.119978220964014	845	0.736017457091441	845	0.112186493716976	
850	0.9823	850	0.714837115092758	850	0.109858633455179	850	0.735238440061991	850	0.125463079239145	
855	0.98232	855	0.725390676452579	855	0.104511776609506	855	0.734813020138876	855	0.141939032116868	
860	0.98234	860	0.732800022024828	860	0.100866962209453	860	0.732179650764176	860	0.162240255445449	
865	0.98236	865	0.739367871773398	865	0.0982601523331357	865	0.729093367340362	865	0.190924864476272	
870	0.98238	870	0.747730383904281	870	0.0977085305871421	870	0.724800135604903	870	0.229997115527004	
875	0.9824	875	0.750834522041475	875	0.098888298550178	875	0.712866278362392	875	0.273140054624133	
880	0.98242	880	0.754929535964569	880	0.103136710647621	880	0.69989755879353	880	0.325530729135737	
885	0.98244	885	0.756636339648296	885	0.107485333924888	885	0.680369673751368	885	0.383651632468922	
890	0.98246	890	0.757461827987526	890	0.115676870085271	890	0.65724158467483	890	0.438954301437916	
895	0.98248	895	0.759365799402272	895	0.127308371797072	895	0.632160863222495	895	0.48927746437822	
900	0.9825	900	0.758554770424586	900	0.140089249699848	900	0.603885964245644	900	0.520976666039753	
905	0.98257	905	0.756237249830581	905	0.162144908770986	905	0.580673032658269	905	0.530446679994789	
910	0.98264	910	0.751024938120362	910	0.188423703929833	910	0.565849007622303	910	0.513046733528745	
915	0.98271	915	0.746295868036037	915	0.221348299113324	915	0.560392928559989	915	0.478228331680034	
920	0.98278	920	0.738004659294281	920	0.264360280842383	920	0.562783865638201	920	0.431722557275393	
925	0.98285	925	0.727595366321209	925	0.311921778417057	925	0.56936150970701	925	0.381994370219127	
930	0.98292	930	0.714836052851947	930	0.367337867118876	930	0.581250446965941	930	0.339673102740605	
935	0.98299	935	0.69407671415845	935	0.422866303614187	935	0.592311292752703	935	0.299200901056348	
940	0.98306	940	0.669272885566009	940	0.47925637373426	940	0.605127054403162	940	0.266293360873703	
945	0.98313	945	0.641776210398372	945	0.522784005445875	945	0.61657469296199	945	0.238932173949777	
950	0.9832	950	0.616761777838117	950	0.545564951103338	950	0.631025263592522	950	0.217956075944487	
955	0.98316	955	0.597224453555885	955	0.54477504109055	955	0.638821946146119	955	0.200944802995161	
960	0.98312	960	0.585126707612756	960	0.521323811448474	960	0.652539965391856	960	0.187775490400875	
965	0.98308	965	0.579661289606377	965	0.483566508917964	965	0.659476330610257	965	0.1764869528426	
970	0.98304	970	0.58242181582564	970	0.436640696459381	970	0.667320530776615	970	0.167244545241712	
975	0.983	975	0.590988144675633	975	0.389585375163065	975	0.674467887070809	975	0.15973953142725	
980	0.98296	980	0.601606891703702	980	0.345757361440321	980	0.680770469200103	980	0.152429730770258	
985	0.98292	985	0.61589674876508	985	0.302849502730783	985	0.687448385126787	985	0.146800444991529	
990	0.98288	990	0.62564767396247	990	0.269998572676465	990	0.693755114822898	990	0.141093695224717	
995	0.98284	995	0.641055572784709	995	0.24237831153054	995	0.701485544687472	995	0.137567322780486	
1000	0.9828	1000	0.652621690380937	1000	0.218964066425261	1000	0.706948811470015	1000	0.134189716136456	
1005	0.98269	1005	0.664615618369675	1005	0.199977002059227	1005	0.713075595899374	1005	0.131305945038978	
1010	0.98258	1010	0.677644538173345	1010	0.184624205953109	1010	0.719304210444624	1010	0.129931677361947	
1015	0.98247	1015	0.68348511590137	1015	0.173023586378172	1015	0.722906427639933	1015	0.127551471010827	
1020	0.98236	1020	0.694488778677463	1020	0.159889059012564	1020	0.725851343247279	1020	0.128067894652775	
1025	0.98225	1025	0.701702764222805	1025	0.152707912795198	1025	0.731719062800922	1025	0.129348048968185	
1030	0.98214	1030	0.711432043445229	1030	0.146533792108574	1030	0.734888627574864	1030	0.128751352729858	
1035	0.98203	1035	0.716367268662886	1035	0.138842337154451	1035	0.735448590107951	1035	0.132419475863706	
1040	0.98192	1040	0.723613313337093	1040	0.135069009515576	1040	0.738721538723325	1040	0.136044302899535	
1045	0.98181	1045	0.726111670523159	1045	0.131025319781157	1045	0.737601918012742	1045	0.138623208299589	
1050	0.9817	1050	0.73297479375665	1050	0.126730936579098	1050	0.742459457216841	1050	0.148909018308843	
1055	0.98167	1055	0.738870028442165	1055	0.123579192887589	1055	0.742721313523278	1055	0.155140627627183	
1060	0.98164	1060	0.738886949675656	1060	0.12487879131035	1060	0.737511899751896	1060	0.162746212640084	
1065	0.98161	1065	0.747847450937726	1065	0.124114457737722	1065	0.740857624784595	1065	0.172793269057988	
1070	0.98158	1070	0.743853869397903	1070	0.11932471569568	1070	0.742307601574941	1070	0.191037176573392	
1075	0.98155	1075	0.751259192811257	1075	0.125450830313278	1075	0.738086721174681	1075	0.206200353294169	
1080	0.98152	1080	0.75536151195797	1080	0.123057064863925	1080	0.740918756887208	1080	0.22539724769683	
1085	0.98149	1085	0.752653875040942	1085	0.121412579697367	1085	0.729965930385443	1085	0.254694326035578	
1090	0.98146	1090	0.75088304730893	1090	0.129298694455843	1090	0.730541564178005	1090	0.281528757048355	
1095	0.98143	1095	0.748266231066317	1095	0.130838640394442	1095	0.725065190760326	1095	0.303354474274797	
1100	0.9814	1100	0.751088082841023	1100	0.136240935256303	1100	0.711575220898323	1100	0.349106036679136	
