#ReRa Photor SR measurement
Wavelength [nm]	SR[A/W] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Total reflectance centre)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Diffuse reflectance centre)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Total reflectance edge major)	Wavelength [nm]	SR[A/W] (JE813 inverted ARC_Diffuse reflectance edge major)	
715	0.566697861377874	715	0.483118354098243	715	0.177457530929844	715	0.492334900390401	715	0.318240536384823	
720	0.570643362452244	720	0.489678561264003	720	0.192959749779297	720	0.496893908406696	720	0.309784705088283	
725	0.574588621567819	725	0.496516141474548	725	0.214540317501861	725	0.500211708162479	725	0.29413383922164	
730	0.578533638724601	730	0.506059339159406	730	0.23754032213139	730	0.503709710110007	730	0.275412748486268	
735	0.582478413922588	735	0.515846850837855	735	0.257511291051064	735	0.507634732460299	735	0.254461761896088	
740	0.586422947161782	740	0.526402520073086	740	0.272400384663532	740	0.51105425236758	740	0.234637179918364	
745	0.590367238442181	745	0.536192072309398	745	0.276136128542532	745	0.515107868200365	745	0.216984759654192	
750	0.594311287763787	750	0.545125207563362	750	0.270815265480853	750	0.518918706983757	750	0.20303154937511	
755	0.598322077386071	755	0.553752607433134	755	0.258541362029409	755	0.524656712917657	755	0.195366017047484	
760	0.602333512231806	760	0.558580302227146	760	0.24109216727093	760	0.52986641677981	760	0.193094211930208	
765	0.606345592300991	765	0.564673488355739	765	0.223034475182163	765	0.536224992281643	765	0.198609970401151	
770	0.610358317593627	770	0.569798887941308	770	0.205448333911446	770	0.545053648533119	770	0.210259020673444	
775	0.614371688109714	775	0.574924783623734	775	0.190841743937373	775	0.554160238864219	775	0.229116828812318	
780	0.618385703849251	780	0.582803682656805	780	0.178578955014824	780	0.563589035463925	780	0.254288315738765	
785	0.622400364812239	785	0.58816974736871	785	0.168878435413277	785	0.572544294050012	785	0.28221926979236	
790	0.626415670998678	790	0.595021820126507	790	0.163535612927572	790	0.579961895359897	790	0.314079170485835	
795	0.630431622408567	795	0.60066958236857	795	0.160466675819086	795	0.585107176589249	795	0.343436491601881	
800	0.634448219041907	800	0.605328848845527	800	0.16135973195659	800	0.590327165841235	800	0.369307738741575	
805	0.638348594801195	805	0.611309473030958	805	0.165872622997746	805	0.594143436967104	805	0.390431801588129	
810	0.64224816403117	810	0.615092344269136	810	0.175227732247207	810	0.596540746537486	810	0.399250630510816	
815	0.646146926731832	815	0.619663659357964	815	0.189997687909478	815	0.599351365647041	815	0.399720051361212	
820	0.650044882903181	820	0.622175148125924	820	0.21066140744659	820	0.602383455167501	820	0.388895918330809	
825	0.653942032545216	825	0.626154151206277	825	0.236942035786916	825	0.606184238092898	825	0.370743723654434	
830	0.657838375657938	830	0.628717173161584	830	0.266860535007789	830	0.609597730471962	830	0.343738144508019	
835	0.661733912241346	835	0.630608088037366	835	0.296053519625798	835	0.614104581152306	835	0.313493150944989	
840	0.665628642295441	840	0.634353936338288	840	0.322232479102967	840	0.618809119998106	840	0.283045069272762	
845	0.669522565820223	845	0.635742634818385	845	0.339068462125904	845	0.622571038861008	845	0.251807237338127	
850	0.673415682815691	850	0.639524610814791	850	0.346879049703628	850	0.628431054914928	850	0.225374902025529	
855	0.677390743189395	855	0.642758910917224	855	0.341831873132741	855	0.633050808372878	855	0.202282467815499	
860	0.681365964868961	860	0.646871666412618	860	0.328060128019133	860	0.63866381391285	860	0.183024794416646	
865	0.685341347854389	865	0.652408258107235	865	0.309489030281519	865	0.643753766311922	865	0.169010501236113	
870	0.68931689214568	870	0.656244518391227	870	0.286839171219357	870	0.647085724489883	870	0.158249259681171	
875	0.693292597742835	875	0.661265218904742	875	0.265276223494282	875	0.652074262168754	875	0.153030917381726	
880	0.697268464645851	880	0.664392755209641	880	0.243175650513414	880	0.653090894914256	880	0.150450845398823	
885	0.70124449285473	885	0.668416768921295	885	0.224940082253812	885	0.658892221204081	885	0.1530037350716	
890	0.705220682369472	890	0.673503106435605	890	0.207099340351266	890	0.662448093854951	890	0.159898779955793	
895	0.709197033190077	895	0.67649416093144	895	0.191676181451371	895	0.665577845330294	895	0.169244814008887	
900	0.713173545316544	900	0.681263044824333	900	0.180711322563726	900	0.670003213711146	900	0.185833275201677	
905	0.717186714200302	905	0.684139275632379	905	0.168569714522907	905	0.671594433563109	905	0.20477044395737	
910	0.72120044765458	910	0.687458585530976	910	0.160981506704119	910	0.674371900595709	910	0.230874458878163	
915	0.725214745679377	915	0.691723112054069	915	0.155328339379519	915	0.678057248751969	915	0.262514068423302	
920	0.729229608274694	920	0.694254407820169	920	0.150754294517366	920	0.680717079232999	920	0.294473202647087	
925	0.733245035440529	925	0.698973336995219	925	0.149711182754056	925	0.682923679533044	925	0.33112731427009	
930	0.737261027176884	930	0.701463257499395	930	0.150119888890809	930	0.685130854134623	930	0.365968209737224	
935	0.741277583483759	935	0.705120713024357	935	0.153541449462035	935	0.687078642888474	935	0.399647445463733	
940	0.745294704361152	940	0.709096683333129	940	0.160805492972716	940	0.688444388147875	940	0.429571300163932	
945	0.749312389809065	945	0.711623474149102	945	0.172122180467424	945	0.690665149964558	945	0.452458690474396	
950	0.753330639827498	950	0.717237365101053	950	0.187252478763901	950	0.693661088290625	950	0.464348795551893	
955	0.757264728512084	955	0.719444913227328	955	0.204979257660888	955	0.693996838471053	955	0.464023497419074	
960	0.761198494584944	960	0.724715848084336	960	0.227470384352701	960	0.696272528672286	960	0.455089033294682	
965	0.765131938046079	965	0.726359074883237	965	0.25432532757858	965	0.699538017891241	965	0.436342589609623	
970	0.769065058895489	970	0.730419456836219	970	0.285862717556375	970	0.70332823576533	970	0.412796179394842	
975	0.772997857133174	975	0.732732074145442	975	0.314835629011891	975	0.705838452117742	975	0.381863888061458	
980	0.776930332759133	980	0.736852743173916	980	0.345789446471771	980	0.712768701710931	980	0.351097761033037	
985	0.780862485773367	985	0.738113595613772	985	0.371418826658659	985	0.716217253249185	985	0.316534868239502	
990	0.784794316175875	990	0.739812939705248	990	0.38782199809198	990	0.720235278752561	990	0.283386188971436	
995	0.788725823966658	995	0.74470446434567	995	0.39816475803669	995	0.726897927833798	995	0.254218966992453	
1000	0.792657009145716	1000	0.746787116078519	1000	0.398105036048601	1000	0.731115652268595	1000	0.226070871405089	
1005	0.796531132375856	1005	0.752044658562677	1005	0.38957723278704	1005	0.737641113906024	1005	0.202862100637027	
1010	0.80040436842375	1010	0.756827673055772	1010	0.373973648508519	1010	0.742251093442723	1010	0.181347687575273	
1015	0.8042767172894	1015	0.758481899464088	1015	0.354861125364165	1015	0.746906927994813	1015	0.165621437669721	
1020	0.808148178972806	1020	0.763927195405722	1020	0.333780551113448	1020	0.751613584816785	1020	0.151925149163932	
1025	0.812018753473966	1025	0.767868000361675	1025	0.310998021558269	1025	0.75475972046021	1025	0.140151605613894	
1030	0.815888440792883	1030	0.772118626755426	1030	0.29180480460813	1030	0.76202643112718	1030	0.132838126812367	
1035	0.819757240929554	1035	0.776459907110327	1035	0.270576252073991	1035	0.764458519735867	1035	0.125747671808926	
1040	0.823625153883981	1040	0.780258831825338	1040	0.252939560743163	1040	0.769224568399615	1040	0.122233209436144	
1045	0.827492179656163	1045	0.785738594684471	1045	0.236981093021373	1045	0.773044970967141	1045	0.119017576035672	
1050	0.8313583182461	1050	0.786148769216346	1050	0.219568779713771	1050	0.775671619383627	1050	0.118501617407855	
1055	0.835291640727838	1055	0.794205294279991	1055	0.207523665966045	1055	0.782169755330225	1055	0.121879033659134	
1060	0.839224721250782	1060	0.79501126875393	1060	0.195925240817978	1060	0.779900049880474	1060	0.122359295012374	
1065	0.843157559814932	1065	0.796799464527022	1065	0.186066531151132	1065	0.788651690681783	1065	0.128829984249264	
1070	0.847090156420289	1070	0.801072753136005	1070	0.175571115754111	1070	0.790195351935981	1070	0.132777858401749	
1075	0.851022511066851	1075	0.804139749599521	1075	0.164438821068701	1075	0.792070820094225	1075	0.142085135709548	
1080	0.854954623754619	1080	0.809588982295213	1080	0.160308547150085	1080	0.795354436462716	1080	0.154725397404178	
1085	0.858886494483593	1085	0.808876644391049	1085	0.156363815944619	1085	0.800144368477517	1085	0.171460556744623	
1090	0.862818123253773	1090	0.815879379058038	1090	0.151520485737846	1090	0.802282030552306	1090	0.191049936007286	
1095	0.86674951006516	1095	0.816710187819019	1095	0.148662500560484	1095	0.799950335488483	1095	0.206314990940281	
1100	0.870680654917752	1100	0.811278924739372	1100	0.147047151437643	1100	0.79842246669938	1100	0.238478358932497	
