319+0i,3.53254+0i,1.90403+0i,8.8535086107-13.4521242724i
320+0i,3.52735+0i,1.90406+0i,8.8167535389-13.432572082i
321+0i,3.52216+0i,1.90409+0i,8.7800523375-13.4130192688i
322+0i,3.51697+0i,1.90412+0i,8.7434050065-13.3934658328i
323+0i,3.51318+0i,1.90519+0i,8.7126847763-13.3865508084i
324+0i,3.5095+0i,1.90634+0i,8.6824580544-13.38060046i
325+0i,3.50583+0i,1.90749+0i,8.6523258888-13.3746713334i
326+0i,3.50216+0i,1.90864+0i,8.622218016-13.3687253248i
327+0i,3.49928+0i,1.91044+0i,8.5951795248-13.3703289664i
328+0i,3.49677+0i,1.91256+0i,8.5695146793-13.3755648624i
329+0i,3.49425+0i,1.91467+0i,8.5438218536-13.380671295i
330+0i,3.49174+0i,1.91678+0i,8.5182026592-13.3857947944i
331+0i,3.48968+0i,1.91914+0i,8.4947681628-13.3943689504i
332+0i,3.48855+0i,1.92201+0i,8.4758586624-13.410055971i
333+0i,3.48742+0i,1.92488+0i,8.456935242-13.4257300192i
334+0i,3.48629+0i,1.92775+0i,8.4379979016-13.441391095i
335+0i,3.48515+0i,1.93061+0i,8.4190155504-13.456930883i
336+0i,3.48533+0i,1.9339+0i,8.4075559989-13.480559374i
337+0i,3.48571+0i,1.93725+0i,8.3972366416-13.505383395i
338+0i,3.48609+0i,1.94059+0i,8.38693394-13.5301427862i
339+0i,3.48647+0i,1.94394+0i,8.3765703373-13.5549769836i
340+0i,3.48723+0i,1.94746+0i,8.3681726213-13.5824818716i
341+0i,3.48898+0i,1.9514+0i,8.3650194804-13.616791144i
342+0i,3.49073+0i,1.95535+0i,8.3618023104-13.651197811i
343+0i,3.49247+0i,1.9593+0i,8.3584902109-13.685592942i
344+0i,3.49422+0i,1.96325+0i,8.3552228459-13.72005483i
345+0i,3.49667+0i,1.96754+0i,8.3554874373-13.7596761836i
346+0i,3.49967+0i,1.97211+0i,8.3584722568-13.8034684074i
347+0i,3.50267+0i,1.97669+0i,8.3613937728-13.8473855246i
348+0i,3.50567+0i,1.98126+0i,8.3643309613-13.8912874884i
349+0i,3.50867+0i,1.98584+0i,8.3672046633-13.9353144656i
350+0i,3.51259+0i,1.99083+0i,8.3748844192-13.9859390994i
351+0i,3.51688+0i,1.996+0i,8.3844289344-14.03938496i
352+0i,3.52118+0i,2.00118+0i,8.3939872-14.0930299848i
353+0i,3.52548+0i,2.00635+0i,8.4035689079-14.146693596i
354+0i,3.52977+0i,2.01152+0i,8.4130635425-14.2004059008i
355+0i,3.53485+0i,2.01705+0i,8.42667382-14.259938385i
356+0i,3.54024+0i,2.02272+0i,8.4419030592-14.3218285056i
357+0i,3.54564+0i,2.0284+0i,8.4571564496-14.383952352i
358+0i,3.55103+0i,2.03407+0i,8.472373296-14.4460871842i
359+0i,3.55642+0i,2.03974+0i,8.4875839488-14.5083442616i
360+0i,3.56278+0i,2.04584+0i,8.5079400228-14.5777556704i
361+0i,3.56984+0i,2.05225+0i,8.5320275631-14.65240828i
362+0i,3.5769+0i,2.05866+0i,8.5561326144-14.727241908i
363+0i,3.58396+0i,2.06507+0i,8.5802551767-14.8022565544i
364+0i,3.59102+0i,2.07148+0i,8.60439525-14.8774522192i
365+0i,3.5985+0i,2.07811+0i,8.6306610779-14.95615767i
366+0i,3.607+0i,2.08529+0i,8.6620146159-15.04328206i
367+0i,3.61549+0i,2.09246+0i,8.6933790885-15.1305364108i
368+0i,3.62399+0i,2.09964+0i,8.7248153905-15.2181487272i
369+0i,3.63249+0i,2.10681+0i,8.756335224-15.3059325138i
370+0i,3.64098+0i,2.11399+0i,8.7877816403-15.3939906204i
371+0i,3.65238+0i,2.12218+0i,8.836231712-15.5020155768i
372+0i,3.66428+0i,2.13055+0i,8.8877046159-15.613863508i
373+0i,3.67618+0i,2.13892+0i,8.939320626-15.7261098512i
374+0i,3.68808+0i,2.14729+0i,8.9910797423-15.8387546064i
375+0i,3.69998+0i,2.15566+0i,9.0429819648-15.9517977736i
376+0i,3.71296+0i,2.16524+0i,9.097807704-16.0788990208i
377+0i,3.72928+0i,2.1786+0i,9.1612313584-16.249218816i
378+0i,3.74561+0i,2.19197+0i,9.2248617912-16.4205295034i
379+0i,3.76193+0i,2.20533+0i,9.288636916-16.5925941738i
380+0i,3.77826+0i,2.21869+0i,9.3526633115-16.7655753588i
381+0i,3.79458+0i,2.23205+0i,9.4167901739-16.939384578i
382+0i,3.8138+0i,2.24302+0i,9.5139317196-17.108859352i
383+0i,3.83638+0i,2.2512+0i,9.6499100644-17.272917312i
384+0i,3.85896+0i,2.25938+0i,9.7867742972-17.4377140896i
385+0i,3.88154+0i,2.26756+0i,9.924524418-17.6032496848i
386+0i,3.90413+0i,2.27573+0i,10.063284024-17.7694915298i
387+0i,3.92671+0i,2.28391+0i,10.202806536-17.9365044722i
388+0i,3.95615+0i,2.28387+0i,10.4350606456-18.070664601i
389+0i,3.99246+0i,2.27562+0i,10.7612904672-18.1706436504i
390+0i,4.02877+0i,2.26737+0i,11.090020996-18.2694244698i
391+0i,4.06507+0i,2.25912+0i,11.4211709305-18.3669618768i
392+0i,4.10138+0i,2.25087+0i,11.7549021475-18.4633464012i
393+0i,4.13768+0i,2.24262+0i,12.091051318-18.5584878432i
394+0i,4.17295+0i,2.23223+0i,12.4306609296-18.629968357i
395+0i,4.2063+0i,2.21786+0i,12.7740567104-18.657969036i
396+0i,4.23964+0i,2.20349+0i,13.1191791495-18.6840086872i
397+0i,4.27298+0i,2.18912+0i,13.466111706-18.7081319552i
398+0i,4.30632+0i,2.17474+0i,13.8148978748-18.7302527136i
399+0i,4.33966+0i,2.16037+0i,14.1654503787-18.7505425484i
400+0i,4.373+0i,2.146+0i,14.517813-18.768916i
401+0i,4.38234+0i,2.13171+0i,14.6607163515-18.6837560028i
402+0i,4.39168+0i,2.11743+0i,14.8033434175-18.5981499648i
403+0i,4.40102+0i,2.10314+0i,14.9457791808-18.5119224056i
404+0i,4.41036+0i,2.08885+0i,15.0879810071-18.425160972i
405+0i,4.4197+0i,2.07456+0i,15.2299488964-18.337865664i
406+0i,4.42904+0i,2.06028+0i,15.3716416432-18.2501250624i
407+0i,4.43913+0i,2.0455+0i,15.5218049069-18.16048083i
408+0i,4.45016+0i,2.0301+0i,15.6826180156-18.068539632i
409+0i,4.4612+0i,2.01471+0i,15.8432490559-17.976048504i
