#ReRa Photor QE measurement
Wavelength [nm]	QE[-] (Reflectance Transmittance 300-1750_calibration_calibration)	Wavelength [nm]	QE[-] (JE794 inverted ARC_Total reflectance centre)	Wavelength [nm]	QE[-] (JE794 inverted ARC_Diffuse reflectance centre)	
1010	0.98258	1010	0.603126573595184	1010	0.383939697185211	
1015	0.98247	1015	0.607164240920138	1015	0.358781893711265	
1020	0.98236	1020	0.609619792563002	1020	0.33476016678943	
1025	0.98225	1025	0.616684569604126	1025	0.310612943790883	
1030	0.98214	1030	0.621870870927197	1030	0.292984634825795	
1035	0.98203	1035	0.627706339397679	1035	0.274293676137682	
1040	0.98192	1040	0.635911705290128	1040	0.259497944426326	
1045	0.98181	1045	0.641885942034006	1045	0.246717157409087	
1050	0.9817	1050	0.650062762767797	1050	0.233683915139301	
1055	0.98167	1055	0.656955209401955	1055	0.223534519580528	
1060	0.98164	1060	0.66352678352849	1060	0.21333570516452	
1065	0.98161	1065	0.67222635304553	1065	0.211488661555572	
1070	0.98158	1070	0.675140577469065	1070	0.199958623133241	
1075	0.98155	1075	0.680051974640604	1075	0.192479079088264	
1080	0.98152	1080	0.688872596656832	1080	0.196226112270315	
1085	0.98149	1085	0.687106621349513	1085	0.185279904543184	
1090	0.98146	1090	0.696125797071042	1090	0.184991600007218	
1095	0.98143	1095	0.702685105097643	1095	0.178309082313188	
1100	0.9814	1100	0.696462490342877	1100	0.180588762384729	
