329+0i,4.27614669+0i,1.71571173+0i,15.3417637739384-14.6732700704673i
330+0i,4.29603763+0i,1.69046255+0i,15.5982756854235-14.5245814538115i
331+0i,4.31490299+0i,1.66406211+0i,15.8492851071733-14.3605331479694i
332+0i,4.33265289+0i,1.63660895+0i,16.0933922100053-14.1817169940347i
333+0i,4.34920928+0i,1.60820804+0i,16.3292882613175-13.9888666634772i
334+0i,4.36450589+0i,1.57896973+0i,16.5557662555884-13.7828453734334i
335+0i,4.37848896+0i,1.54900778+0i,16.7717404703414-13.5646269273682i
336+0i,4.39111678+0i,1.51843839+0i,16.9762514313718-13.3352805874504i
337+0i,4.40235971+0i,1.48737875+0i,17.1684754702797-13.0959525650203i
338+0i,4.4122+0i,1.45594552+0i,17.3477314827919-12.847845646688i
339+0i,4.42063117+0i,1.42425398+0i,17.5134805416297-12.5922030759691i
340+0i,4.42765758+0i,1.39241673+0i,17.6653272957476-12.3302889782066i
341+0i,4.43329376+0i,1.3605426+0i,17.8030173960402-12.0633700375884i
342+0i,4.43756371+0i,1.32873596+0i,17.9264324289118-11.792700952536i
343+0i,4.44050008+0i,1.29709591+0i,18.0355831607413-11.5195089842453i
344+0i,4.44214333+0i,1.26571536+0i,18.1306019917236-11.2449780882051i
345+0i,4.44254083+0i,1.23468076+0i,18.2117324471029-10.9702393766309i
346+0i,4.44174601+0i,1.20407155+0i,18.2793193198315-10.696360005934i
347+0i,4.43981743+0i,1.17395992+0i,18.3337969179654-10.4243354298748i
348+0i,4.43681779+0i,1.14441041+0i,18.3756769151441-10.1550809322984i
349+0i,4.43281313+0i,1.11547998+0i,18.4055366597196-9.88942860319228i
350+0i,4.42787193+0i,1.08721794+0i,18.4240069794241-9.62812359663685i
351+0i,4.42206426+0i,1.05966605+0i,18.4317601820467-9.37182273448074i
352+0i,4.41546107+0i,1.03285865+0i,18.4294994698057-9.12109431977551i
353+0i,4.40813332+0i,1.00682292+0i,18.4179469746569-8.87641932198339i
354+0i,4.40015141+0i,0.981579179+0i,18.3978347462787-8.63819401700699i
355+0i,4.39158454+0i,0.95714124+0i,18.3698954186583-8.40673334436086i
356+0i,4.38250015+0i,0.933516831+0i,18.3348538909897-8.18227530377005i
357+0i,4.37296343+0i,0.910708026+0i,18.2934200514966-7.96498578621098i
358+0i,4.36303695+0i,0.888711714+0i,18.2462829164645-7.75496409215966i
359+0i,4.35278025+0i,0.867520097+0i,18.1941047860912-7.55224868939937i
360+0i,4.34224963+0i,0.847121179+0i,18.1375175573248-7.35682325215583i
361+0i,4.33149788+0i,0.827499277+0i,18.077118831009-7.16862272805407i
362+0i,4.32057415+0i,0.808635517+0i,18.0134695862944-6.98753942304417i
363+0i,4.30952387+0i,0.790508315+0i,17.9470925900156-6.81342890585196i
364+0i,4.29838868+0i,0.773093858+0i,17.8784711310748-6.64611577560945i
365+0i,4.28720647+0i,0.75636654+0i,17.8080489735783-6.48539904795903i
366+0i,4.27601138+0i,0.740299388+0i,17.7362301380163-6.33105721539007i
367+0i,4.26483398+0i,0.724864457+0i,17.6633803959407-6.1828531342157i
368+0i,4.25370128+0i,0.710033188+0i,17.5898274514122-6.04053816127616i
369+0i,4.24263696+0i,0.695776736+0i,17.5158631079992-5.90385619212352i
370+0i,4.23166153+0i,0.682066267+0i,17.4417449119026-5.77254716594922i
371+0i,4.22079249+0i,0.668873213+0i,17.3676978685715-5.64635006838514i
372+0i,4.21004455+0i,0.656169502+0i,17.2939166976298-5.52500567154263i
373+0i,4.19942984+0i,0.643927744+0i,17.2205680415895-5.40825876591496i
374+0i,4.18895814+0i,0.632121397+0i,17.147792838127-5.29586014286264i
375+0i,4.17863704+0i,0.620724896+0i,17.0757081155458-5.1875680841515i
376+0i,4.16847222+0i,0.609713755+0i,17.0044097858755-5.08314969973877i
377+0i,4.15846762+0i,0.599064644+0i,16.9339744988976-4.98238184872165i
378+0i,4.14862564+0i,0.588755441+0i,16.8644617315583-4.88505183644421i
379+0i,4.13894732+0i,0.578765268+0i,16.7959156822921-4.79095790979536i
380+0i,4.12943257+0i,0.569074497+0i,16.728367567041-4.69990952533633i
381+0i,4.12008027+0i,0.559664765+0i,16.6618367820608-4.61172751218137i
382+0i,4.11088848+0i,0.550518938+0i,16.5963329939001-4.52624392049207i
383+0i,4.10185455+0i,0.541621095+0i,16.5318573388067-4.44330190580346i
384+0i,4.09297526+0i,0.532956485+0i,16.4684038640685-4.36275541552312i
385+0i,4.08424694+0i,0.524511484+0i,16.4059607700515-4.28446884704372i
386+0i,4.07566557+0i,0.516273546+0i,16.344511464184-4.20831663226802i
387+0i,4.06722689+0i,0.50823115+0i,16.2840356729087-4.13418279923125i
388+0i,4.05892646+0i,0.500373738+0i,16.224510130008-4.06196041011462i
389+0i,4.05075975+0i,0.492691655+0i,16.1659094853134-3.99155105046977i
390+0i,4.04272216+0i,0.48517609+0i,16.1082066246474-3.92286426109031i
391+0i,4.03480916+0i,0.477819021+0i,16.0513739407905-3.85581712550606i
392+0i,4.02701624+0i,0.470613151+0i,15.9953830593296-3.79033360366914i
393+0i,4.01933899+0i,0.46355185+0i,15.9402055988958-3.72634404918326i
394+0i,4.01177313+0i,0.456629104+0i,15.8858135079702-3.66378473960635i
395+0i,4.00431453+0i,0.44983946+0i,15.832179315396-3.60259737169071i
396+0i,3.99695925+0i,0.443177979+0i,15.77927652509-3.54272864512071i
397+0i,3.98970348+0i,0.436640181+0i,15.7270792106604-3.48412969928706i
398+0i,3.98254366+0i,0.430222012+0i,15.6755630241969-3.42675589256609i
399+0i,3.97547639+0i,0.423919795+0i,15.6247045348546-3.37056627255228i
400+0i,3.96849848+0i,0.417730194+0i,15.574481670783-3.31552327987821i
401+0i,3.96160695+0i,0.41165018+0i,15.5248737555943-3.2615924281135i
402+0i,3.95479903+0i,0.405676999+0i,15.4758615401713-3.20874200427702i
403+0i,3.94807212+0i,0.39980814+0i,15.427426915911-3.15694274176611i
404+0i,3.94142385+0i,0.394041311+0i,15.3795534105742-3.10616764212133i
405+0i,3.93485202+0i,0.388374413+0i,15.332225734625-3.05639168701873i
406+0i,3.92835461+0i,0.38280552+0i,15.2854298757658-3.00759165845089i
407+0i,3.92192982+0i,0.377332855+0i,15.2391534295428-2.95974595218047i
408+0i,3.91557596+0i,0.371954777+0i,15.1933847423968-2.91283436605672i
409+0i,3.90929156+0i,0.366669762+0i,15.1481137867221-2.86683801178762i
410+0i,3.9030753+0i,0.361476388+0i,15.1033316183886-2.82173912307203i
411+0i,3.89692597+0i,0.356373326+0i,15.0590300681761-2.77752093820935i
412+0i,3.89084257+0i,0.351359326+0i,15.015202528557-2.73416764593462i
413+0i,3.8848242+0i,0.346433206+0i,14.9718430986862-2.69166420470477i
414+0i,3.87887011+0i,0.341593844+0i,14.9289469759927-2.64999630250321i
415+0i,3.87297969+0i,0.336840172+0i,14.8865103776795-2.60915028986421i
416+0i,3.86715244+0i,0.332171166+0i,14.8445303106762-2.56911307018909i
417+0i,3.861388+0i,0.32758584+0i,14.8030048039755-2.52987206309184i
418+0i,3.85568609+0i,0.323083245+0i,14.7619324414198-2.49141514731712i
419+0i,3.85004662+0i,0.318662456+0i,14.7213132153095-2.4537306232874i
420+0i,3.84446953+0i,0.314322576+0i,14.6811472853151-2.41680713204622i
421+0i,3.83895493+0i,0.310062726+0i,14.6414360605168-2.38063366117388i
422+0i,3.83350303+0i,0.305882045+0i,14.6021816555658-2.34519949266019i
423+0i,3.82811414+0i,0.301779686+0i,14.5633868899857-2.31049416628272i
424+0i,3.8227887+0i,0.297754812+0i,14.5250555167785-2.27650746136845i
425+0i,3.81752725+0i,0.293806597+0i,14.4871919880518-2.24322938055454i
426+0i,3.81233046+0i,0.289934218+0i,14.4498016854765-2.21065010135536i
427+0i,3.80719914+0i,0.286136857+0i,14.4128909906829-2.17875999178541i
428+0i,3.80213419+0i,0.282413698+0i,14.3764669019489-2.14754955378027i
429+0i,3.79713669+0i,0.278763922+0i,14.3405377183353-2.117009432149i
430+0i,3.79220784+0i,0.275186705+0i,14.3051125791487-2.08713036032953i
431+0i,3.78734904+0i,0.271681216+0i,14.2702020676617-2.05790318520727i
432+0i,3.78256183+0i,0.268246609+0i,14.235817754533-2.02931876846067i
433+0i,3.77784796+0i,0.264882016+0i,14.2019727264759-2.00136796757257i
434+0i,3.77320943+0i,0.261586538+0i,14.1686818857781-1.97404158388531i
435+0i,3.76864847+0i,0.258359232+0i,14.1359617976737-1.94733024877435i
436+0i,3.76416758+0i,0.255199088+0i,14.103830995807-1.92122426699033i
437+0i,3.75976963+0i,0.252105003+0i,14.0723107381327-1.89571346770092i
438+0i,3.7554578+0i,0.249075746+0i,14.0414245603354-1.87078690621304i
439+0i,3.75123575+0i,0.246109902+0i,14.0111995682156-1.84643252562279i
440+0i,3.74710754+0i,0.24320581+0i,13.9816658503071-1.82263664884561i
441+0i,3.7430778+0i,0.240361471+0i,13.9528577801116-1.79938337215089i
442+0i,3.73915167+0i,0.237574442+0i,13.9248135957722-1.77665374310724i
443+0i,3.7353349+0i,0.234841699+0i,13.8975761915688-1.75442478849999i
444+0i,3.73163386+0i,0.232159469+0i,13.8711932460521-1.73266827088004i
445+0i,3.72805547+0i,0.22952304+0i,13.8457167615061-1.71134924952606i
446+0i,3.72460722+0i,0.226926537+0i,13.8212032900813-1.69042443623959i
447+0i,3.72129704+0i,0.224362687+0i,13.7977130445949-1.66984040603909i
448+0i,3.71813312+0i,0.221822555+0i,13.7753086521342-1.64953157701704i
449+0i,3.71512369+0i,0.2192953+0i,13.7540536033971-1.62941832827131i
450+0i,3.71227672+0i,0.216767931+0i,13.7340101099439-1.60940508778773i
451+0i,3.70959951+0i,0.21422511+0i,13.7152361268377-1.58937872617139i
452+0i,3.70709818+0i,0.211649025+0i,13.6977816063759-1.56920743075255i
453+0i,3.70477715+0i,0.209019339+0i,13.6816846470861-1.54874014207061i
454+0i,3.70263852+0i,0.206313267+0i,13.6669668456476-1.52780689916249i
455+0i,3.70068136+0i,0.203505795+0i,13.6536279196529-1.50622020441696i
456+0i,3.6989011+0i,0.200570057+0i,13.6416409998162-1.48377760892873i
457+0i,3.69728891+0i,0.197477884+0i,13.6309477693399-1.46026558096693i
458+0i,3.69583114+0i,0.194200527+0i,13.6214539707066-1.43546471018202i
459+0i,3.69450889+0i,0.190709543+0i,13.6130258084978-1.40915620404267i
460+0i,3.69329784+0i,0.186977811+0i,13.6054882331423-1.38112949098846i
461+0i,3.6921682+0i,0.182980651+0i,13.5986240984509-1.351190681675i
462+0i,3.69108491+0i,0.178696982+0i,13.5921752014538-1.31917146744548i
463+0i,3.69000818+0i,0.174110472+0i,13.5858459120068-1.28493813180732i
464+0i,3.68889427+0i,0.1692106+0i,13.5793087080865-1.24840002552652i
465+0i,3.68769644+0i,0.163993576+0i,13.5722111406194-1.20951705279614i
466+0i,3.68636622+0i,0.158463058+0i,13.5641853672064-1.1683057282582i
467+0i,3.6848548+0i,0.152630596+0i,13.5548587982477-1.12484316859492i
468+0i,3.68311452+0i,0.146515787+0i,13.5438656915946-1.07926884501785i
469+0i,3.68110042+0i,0.140146107+0i,13.5308593708169-1.03178378667813i
470+0i,3.67877167+0i,0.133556414+0i,13.5155236842741-0.982647104339983i
471+0i,3.67609301+0i,0.126788151+0i,13.4975845829369-0.932170071283849i
