328+0i,3.64445754+0i,1.86308757+0i,9.81097546737435-13.5798870843336i
329+0i,3.64866301+0i,1.86434697+0i,9.83695213599408-13.6047476544892i
330+0i,3.65306232+0i,1.86592725+0i,9.86317981151122-13.6326970576724i
331+0i,3.6576872+0i,1.86785682+0i,9.88978655302333-13.6640719638934i
332+0i,3.66257578+0i,1.87016193+0i,9.91695569982128-13.6992195789921i
333+0i,3.66777268+0i,1.87286584+0i,9.94492997751548-13.7384923225145i
334+0i,3.67332906+0i,1.87598775+0i,9.97401634489042-13.782240636558i
335+0i,3.67930246+0i,1.87954173+0i,10.0045894773507-13.8308050217233i
336+0i,3.68575653+0i,1.88353558+0i,10.0370949173117-13.8845071269447i
337+0i,3.6927605+0i,1.88796964+0i,10.0720507487985-13.9436394235824i
338+0i,3.7003885+0i,1.89283556+0i,10.1100485937317-14.0084538772301i
339+0i,3.70871854+0i,1.89811518+0i,10.1517519723933-14.0791499182429i
340+0i,3.71783138+0i,1.90377949+0i,10.197893823568-14.1558622570448i
341+0i,3.72780904+0i,1.90978762+0i,10.2492714852005-14.2386471086322i
342+0i,3.73873316+0i,1.91608615+0i,10.3067395074618-14.3274696528435i
343+0i,3.75068313+0i,1.92260861+0i,10.3712000744205-14.4221913582395i
344+0i,3.76373406+0i,1.92927528+0i,10.443590968385-14.5225581649041i
345+0i,3.77795467+0i,1.93599333+0i,10.5248713147703-14.6281900843247i
346+0i,3.79340509+0i,1.94265732+0i,10.6160047138883-14.7385723316275i
347+0i,3.81013472+0i,1.94915014+0i,10.7179403162875-14.8530492458137i
348+0i,3.82818022+0i,1.95534423+0i,10.831592739005-14.9708202091543i
349+0i,3.84756363+0i,1.96110327+0i,10.9578198512941-15.0909392326521i
350+0i,3.86829081+0i,1.96628421+0i,11.0974001962351-15.2123182787822i
351+0i,3.89035016+0i,1.9707395+0i,11.2510101905518-15.3337334582866i
352+0i,3.91371174+0i,1.97431956+0i,11.4192018588152-15.4538352809673i
353+0i,3.93832679+0i,1.9768755+0i,11.6023811623315-15.5711634842893i
354+0i,3.9641277+0i,1.97826174+0i,11.8007889099595-15.6841643227684i
355+0i,3.99102837+0i,1.97833879+0i,12.0144830821262-15.7912124727229i
356+0i,4.01892512+0i,1.97697581+0i,12.2433257668419-15.8906354888827i
357+0i,4.04769796+0i,1.97405313+0i,12.4869730153254-15.9807416544652i
358+0i,4.0772121+0i,1.96946435+0i,12.7448686824655-16.0598477566773i
359+0i,4.10731985+0i,1.96311826+0i,13.0162430474586-16.1263091943909i
360+0i,4.1378627+0i,1.9549405+0i,13.300115365511-16.1785507513387i
361+0i,4.16867401+0i,1.9448748+0i,13.5953050139744-16.2150980629279i
362+0i,4.1995811+0i,1.93288376+0i,13.9004417858055-16.2346042139859i
363+0i,4.23040774+0i,1.91894942+0i,14.2139827701336-16.235876958073i
364+0i,4.26097705+0i,1.90307335+0i,14.5342372451465-16.2179037376332i
365+0i,4.29111366+0i,1.88527639+0i,14.8593893763472-16.179870540009i
366+0i,4.32064598+0i,1.86559822+0i,15.187524966023-16.1211788990763i
367+0i,4.34940879+0i,1.84409633+0i,15.5166655482098-16.0414575746175i
368+0i,4.37724493+0i,1.82084495+0i,15.8447968452702-15.9405686514072i
369+0i,4.40400715+0i,1.79593398+0i,16.1699001167325-15.8186121776959i
370+0i,4.42955997+0i,1.76946685+0i,16.4899885945775-15.675919054004i
371+0i,4.45378063+0i,1.74155957+0i,16.8031321643046-15.5130485577143i
372+0i,4.47656052+0i,1.71233814+0i,17.107492183524-15.3307706288285i
373+0i,4.49780564+0i,1.68193781+0i,17.4013407785082-15.1300587358945i
374+0i,4.51743762+0i,1.65049963+0i,17.6830936219611-14.9120582407162i
375+0i,4.53539363+0i,1.6181699+0i,17.9513215537786-14.6780749134355i
376+0i,4.55162664+0i,1.5850977+0i,18.2047703514124-14.4295458366455i
377+0i,4.56610528+0i,1.55143307+0i,18.4423728573543-14.1680134649872i
378+0i,4.57881342+0i,1.51732544+0i,18.6632558443009-13.8951001743588i
379+0i,4.58974964+0i,1.48292185+0i,18.8667445446727-13.6124800543713i
380+0i,4.59892652+0i,1.44836552+0i,19.0523624568344-13.3218532011632i
381+0i,4.6063698+0i,1.41379451+0i,19.2198278178459-13.0249206685396i
382+0i,4.61211726+0i,1.37934036+0i,19.369045791265-12.7233589635412i
383+0i,4.6162179+0i,1.3451273+0i,19.5001002470751-12.4188014400773i
384+0i,4.61873036+0i,1.311271+0i,19.6132385029447-12.1128143557751i
385+0i,4.61972212+0i,1.27787818+0i,19.7088598230972-11.8068841896227i
386+0i,4.61926795+0i,1.24504587+0i,19.7874971754932-11.5024009671417i
387+0i,4.61744873+0i,1.21286103+0i,19.8498008960859-11.20064724528i
388+0i,4.61435028+0i,1.18140039+0i,19.8965216250439-10.9027904407772i
389+0i,4.61006193+0i,1.15073029+0i,19.9284907981118-10.6098758032537i
390+0i,4.60467547+0i,1.12090679+0i,19.9466041521516-10.3228240001389i
391+0i,4.59828404+0i,1.09197582+0i,19.9518049210541-10.0424299703438i
392+0i,4.59098093+0i,1.06397351+0i,19.9450662696419-9.76936418887033i
393+0i,4.58285868+0i,1.03692658+0i,19.9273769485408-9.50417595535143i
394+0i,4.57400823+0i,1.01085284+0i,19.8997278239717-9.24729841895775i
395+0i,4.56451807+0i,0.985761743+0i,19.8630989973941-8.99905457727639i
396+0i,4.55447349+0i,0.961655085+0i,19.8184482686064-8.75966518231239i
397+0i,4.54395609+0i,0.938527595+0i,19.7667029012716-8.52925636186661i
398+0i,4.53304325+0i,0.916367657+0i,19.7087514235749-8.30786844416433i
399+0i,4.52180773+0i,0.895158058+0i,19.6454371982854-8.09546525247238i
400+0i,4.51031736+0i,0.874876726+0i,19.5775534022209-7.89194337027553i
401+0i,4.49863489+0i,0.855497399+0i,19.5058400738295-7.6971408948913i
402+0i,4.48681784+0i,0.836990355+0i,19.4309814749792-7.51084651344387i
403+0i,4.4749185+0i,0.819323059+0i,19.3536053066331-7.33280782839138i
404+0i,4.46298394+0i,0.802460816+0i,19.2742822874825-7.16273946857459i
405+0i,4.45105611+0i,0.786367393+0i,19.1935268175947-7.00033077863484i
406+0i,4.43917205+0i,0.771005521+0i,19.1117989760887-6.84525231843778i
407+0i,4.42736405+0i,0.756337401+0i,19.029506167081-6.69716203771567i
408+0i,4.41565987+0i,0.742325161+0i,18.9470054428747-6.55571084783798i
409+0i,4.4040831+0i,0.728931251+0i,18.8646071830212-6.42054760718192i
410+0i,4.39265337+0i,0.716118766+0i,18.782577541955-6.29132302158028i
411+0i,4.3813867+0i,0.70385174+0i,18.7011421430359-6.16769330481572i
412+0i,4.37029578+0i,0.692095401+0i,18.6204891606005-6.04932322069542i
413+0i,4.35939035+0i,0.680816351+0i,18.5407733198842-5.93588846134323i
414+0i,4.34867744+0i,0.669982696+0i,18.4621186642255-5.82707727057116i
415+0i,4.33816173+0i,0.659564174+0i,18.3846222960123-5.72259211625172i
416+0i,4.32784579+0i,0.649532225+0i,18.3083570707073-5.62215061087116i
417+0i,4.31773041+0i,0.639860025+0i,18.2333750418458-5.52548617617172i
418+0i,4.30781482+0i,0.630522498+0i,18.1597099029275-5.43234832245564i
419+0i,4.29809694+0i,0.621496305+0i,18.0873796485087-5.34250273348361i
420+0i,4.28857361+0i,0.612759809+0i,18.0163890248627-5.25573109229208i
421+0i,4.27924079+0i,0.604293033+0i,17.9467316690675-5.17183079185283i
422+0i,4.27009373+0i,0.596077594+0i,17.8783919649165-5.09061439346577i
423+0i,4.26112716+0i,0.588096621+0i,17.811347038058-5.01190896889465i
424+0i,4.25233538+0i,0.580334691+0i,17.7455678304217-4.93555547756134i
425+0i,4.24371244+0i,0.572777733+0i,17.6810209419901-4.8614079817742i
426+0i,4.2352522+0i,0.565412944+0i,17.6176694003621-4.78933282996895i
427+0i,4.22694848+0i,0.558228704+0i,17.5554741666048-4.71920794373034i
428+0i,4.21879508+0i,0.55121448+0i,17.4943945240705-4.65092187249752i
429+0i,4.21078586+0i,0.544360741+0i,17.4343889424339-4.58437302188384i
430+0i,4.20291482+0i,0.537658878+0i,17.3754159150834-4.51946893290154i
431+0i,4.19517611+0i,0.531101122+0i,17.3174341921251-4.45612547801719i
432+0i,4.18756407+0i,0.524680464+0i,17.2604032510517-4.39426611855466i
433+0i,4.18007328+0i,0.518390586+0i,17.2042838265165-4.33382127428428i
434+0i,4.17269854+0i,0.512225793+0i,17.1490378427036-4.27472763720288i
435+0i,4.1654349+0i,0.506180946+0i,17.0946287560446-4.21692755636683i
436+0i,4.15827766+0i,0.50025141+0i,17.0410216244481-4.160368525173i
437+0i,4.1512224+0i,0.494432995+0i,16.9881834277171-4.10500264828618i
438+0i,4.14426493+0i,0.488721911+0i,16.9360827037364-4.05078615255976i
439+0i,4.13740131+0i,0.483114723+0i,16.8846897644104-3.99767897564097i
440+0i,4.13062789+0i,0.477608307+0i,16.8339770707304-3.94564438677976i
441+0i,4.12394121+0i,0.472199819+0i,16.7839184344726-3.89464858585728i
442+0i,4.11733806+0i,0.466886657+0i,16.7344895498399-3.84466040514453i
443+0i,4.11081544+0i,0.461666439+0i,16.6856676808435-3.79565105114204i
444+0i,4.10437058+0i,0.456536967+0i,16.637431855732-3.74759379207446i
445+0i,4.09800088+0i,0.451496214+0i,16.5897623812244-3.70046376457734i
446+0i,4.09170394+0i,0.446542294+0i,16.5426411122807-3.65423772747288i
447+0i,4.08547754+0i,0.441673452+0i,16.4960512916429-3.60889393632054i
448+0i,4.07931961+0i,0.436888045+0i,16.4499773166666-3.56441193868612i
449+0i,4.07322824+0i,0.432184525+0i,16.404404831484-3.52077242424197i
450+0i,4.06720168+0i,0.427561431+0i,16.3593207285161-3.47795714093281i
451+0i,4.06123828+0i,0.423017374+0i,16.3147126682315-3.43594870478775i
